ACSDT5Y2020.B19058-Data
Geography,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!With cash public assistance or Food Stamps/SNAP
GEO_ID,NAME,B19058_001E,B19058_002E
17001,"Adams County, Illinois",27199,3596
17003,"Alexander County, Illinois",2252,526
17005,"Bond County, Illinois",6359,763
17007,"Boone County, Illinois",18799,2413
17009,"Brown County, Illinois",2090,204
17011,"Bureau County, Illinois",13801,1807
17013,"Calhoun County, Illinois",1661,165
17015,"Carroll County, Illinois",6511,606
17017,"Cass County, Illinois",5068,687
17019,"Champaign County, Illinois",83059,8875
17021,"Christian County, Illinois",13977,1792
17023,"Clark County, Illinois",6726,793
17025,"Clay County, Illinois",5607,826
17027,"Clinton County, Illinois",14596,1288
17029,"Coles County, Illinois",20972,3856
17031,"Cook County, Illinois",1991474,296274
17033,"Crawford County, Illinois",7704,1436
17035,"Cumberland County, Illinois",4229,378
17037,"DeKalb County, Illinois",38616,5015
17039,"De Witt County, Illinois",6732,873
17041,"Douglas County, Illinois",7600,772
17043,"DuPage County, Illinois",344314,23016
17045,"Edgar County, Illinois",7851,1300
17047,"Edwards County, Illinois",2756,394
17049,"Effingham County, Illinois",13856,1733
17051,"Fayette County, Illinois",7918,1098
17053,"Ford County, Illinois",5824,930
17055,"Franklin County, Illinois",16207,3595
17057,"Fulton County, Illinois",14072,2225
17059,"Gallatin County, Illinois",2274,545
17061,"Greene County, Illinois",4984,736
17063,"Grundy County, Illinois",20071,1944
17065,"Hamilton County, Illinois",3366,515
17067,"Hancock County, Illinois",7542,863
17069,"Hardin County, Illinois",1515,256
17071,"Henderson County, Illinois",3028,276
17073,"Henry County, Illinois",19996,2053
17075,"Iroquois County, Illinois",11845,1503
17077,"Jackson County, Illinois",24208,4750
17079,"Jasper County, Illinois",3791,495
17081,"Jefferson County, Illinois",14792,2601
17083,"Jersey County, Illinois",8158,1068
17085,"Jo Daviess County, Illinois",10069,793
17087,"Johnson County, Illinois",4174,633
17089,"Kane County, Illinois",181845,20212
17091,"Kankakee County, Illinois",40297,6840
17093,"Kendall County, Illinois",41398,3513
17095,"Knox County, Illinois",20428,3551
17097,"Lake County, Illinois",248684,22169
17099,"LaSalle County, Illinois",45089,6288
17101,"Lawrence County, Illinois",6166,1123
17103,"Lee County, Illinois",13634,2043
17105,"Livingston County, Illinois",14366,1800
17107,"Logan County, Illinois",10958,1685
17109,"McDonough County, Illinois",11573,1546
17111,"McHenry County, Illinois",113269,8266
17113,"McLean County, Illinois",66225,6519
17115,"Macon County, Illinois",43810,7777
17117,"Macoupin County, Illinois",18577,2644
17119,"Madison County, Illinois",108429,13732
17121,"Marion County, Illinois",16126,3226
17123,"Marshall County, Illinois",4922,512
17125,"Mason County, Illinois",5917,1031
17127,"Massac County, Illinois",5619,942
17129,"Menard County, Illinois",5211,524
17131,"Mercer County, Illinois",6477,725
17133,"Monroe County, Illinois",13576,629
17135,"Montgomery County, Illinois",11619,1593
17137,"Morgan County, Illinois",13560,2167
17139,"Moultrie County, Illinois",6043,479
17141,"Ogle County, Illinois",20967,2119
17143,"Peoria County, Illinois",73519,11245
17145,"Perry County, Illinois",8504,1867
17147,"Piatt County, Illinois",6755,409
17149,"Pike County, Illinois",6258,1036
17151,"Pope County, Illinois",1618,285
17153,"Pulaski County, Illinois",2050,466
17155,"Putnam County, Illinois",2435,195
17157,"Randolph County, Illinois",12047,1579
17159,"Richland County, Illinois",6527,1038
17161,"Rock Island County, Illinois",60607,8925
17163,"St. Clair County, Illinois",104631,16226
17165,"Saline County, Illinois",10140,2658
17167,"Sangamon County, Illinois",84093,11721
17169,"Schuyler County, Illinois",2730,212
17171,"Scott County, Illinois",1973,258
17173,"Shelby County, Illinois",9158,909
17175,"Stark County, Illinois",2304,286
17177,"Stephenson County, Illinois",19741,4076
17179,"Tazewell County, Illinois",53997,5771
17181,"Union County, Illinois",6813,961
17183,"Vermilion County, Illinois",31013,5049
17185,"Wabash County, Illinois",4780,711
17187,"Warren County, Illinois",6789,810
17189,"Washington County, Illinois",6020,689
17191,"Wayne County, Illinois",7114,931
17193,"White County, Illinois",6040,867
17195,"Whiteside County, Illinois",23225,3048
17197,"Will County, Illinois",232395,22775
17199,"Williamson County, Illinois",27937,3866
17201,"Winnebago County, Illinois",115768,21791
17203,"Woodford County, Illinois",14652,1058
