ACSST5Y2020.S1701-Data
GEO_ID,NAME,B19058_002E,B19058_001E
36001,"Albany County, New York",15144,128122
36003,"Allegany County, New York",2905,18028
36005,"Bronx County, New York",184402,510135
36007,"Broome County, New York",13324,79528
36009,"Cattaraugus County, New York",5405,31999
36011,"Cayuga County, New York",4458,30870
36013,"Chautauqua County, New York",10689,53625
36015,"Chemung County, New York",5658,34328
36017,"Chenango County, New York",3641,20834
36019,"Clinton County, New York",4885,31557
36021,"Columbia County, New York",2738,25323
36023,"Cortland County, New York",2495,17980
36025,"Delaware County, New York",2684,18930
36027,"Dutchess County, New York",9199,110095
36029,"Erie County, New York",60589,392910
36031,"Essex County, New York",1674,16182
36033,"Franklin County, New York",3197,18880
36035,"Fulton County, New York",3203,22406
36037,"Genesee County, New York",3079,24174
36039,"Greene County, New York",1530,17681
36041,"Hamilton County, New York",84,1416
36043,"Herkimer County, New York",3927,25093
36045,"Jefferson County, New York",7616,43046
36047,"Kings County, New York",223641,972314
36049,"Lewis County, New York",1441,10398
36051,"Livingston County, New York",2790,24496
36053,"Madison County, New York",3303,25959
36055,"Monroe County, New York",46500,305210
36057,"Montgomery County, New York",3693,19621
36059,"Nassau County, New York",21445,449967
36061,"New York County, New York",105052,758720
36063,"Niagara County, New York",12194,90022
36065,"Oneida County, New York",14356,90675
36067,"Onondaga County, New York",27100,187349
36069,"Ontario County, New York",4655,45711
36071,"Orange County, New York",13374,130428
36073,"Orleans County, New York",2622,16634
36075,"Oswego County, New York",8034,46597
36077,"Otsego County, New York",2602,23768
36079,"Putnam County, New York",1519,34915
36081,"Queens County, New York",108340,783362
36083,"Rensselaer County, New York",6913,65455
36085,"Richmond County, New York",20955,167160
36087,"Rockland County, New York",11836,101167
36089,"St. Lawrence County, New York",7044,41925
36091,"Saratoga County, New York",6441,95898
36093,"Schenectady County, New York",7913,57479
36095,"Schoharie County, New York",1614,12780
36097,"Schuyler County, New York",1356,7402
36099,"Seneca County, New York",1464,13784
36101,"Steuben County, New York",5389,40099
36103,"Suffolk County, New York",33859,495667
36105,"Sullivan County, New York",4497,28762
36107,"Tioga County, New York",2940,20643
36109,"Tompkins County, New York",4058,40817
36111,"Ulster County, New York",8073,70088
36113,"Warren County, New York",3157,29034
36115,"Washington County, New York",3821,24054
36117,"Wayne County, New York",3964,37281
36119,"Westchester County, New York",32567,353485
36121,"Wyoming County, New York",1480,16055
36123,"Yates County, New York",952,8901
