ACSDT5YSPT2015.B19113-Data
GEO_ID,NAME,B19113_001E
17001,"Adams County, Illinois",60544
17003,"Alexander County, Illinois",34759
17005,"Bond County, Illinois",63306
17007,"Boone County, Illinois",66852
17009,"Brown County, Illinois",67944
17011,"Bureau County, Illinois",63101
17013,"Calhoun County, Illinois",65573
17015,"Carroll County, Illinois",59786
17017,"Cass County, Illinois",58308
17019,"Champaign County, Illinois",70498
17021,"Christian County, Illinois",56586
17023,"Clark County, Illinois",56855
17025,"Clay County, Illinois",53631
17027,"Clinton County, Illinois",78929
17029,"Coles County, Illinois",55693
17031,"Cook County, Illinois",67324
17033,"Crawford County, Illinois",65613
17035,"Cumberland County, Illinois",59077
17037,"DeKalb County, Illinois",70256
17039,"De Witt County, Illinois",67748
17041,"Douglas County, Illinois",64795
17043,"DuPage County, Illinois",96751
17045,"Edgar County, Illinois",53981
17047,"Edwards County, Illinois",54894
17049,"Effingham County, Illinois",66123
17051,"Fayette County, Illinois",51045
17053,"Ford County, Illinois",60965
17055,"Franklin County, Illinois",51873
17057,"Fulton County, Illinois",56608
17059,"Gallatin County, Illinois",48868
17061,"Greene County, Illinois",51327
17063,"Grundy County, Illinois",80183
17065,"Hamilton County, Illinois",59920
17067,"Hancock County, Illinois",56954
17069,"Hardin County, Illinois",51554
17071,"Henderson County, Illinois",56482
17073,"Henry County, Illinois",66255
17075,"Iroquois County, Illinois",58577
17077,"Jackson County, Illinois",54095
17079,"Jasper County, Illinois",66706
17081,"Jefferson County, Illinois",56652
17083,"Jersey County, Illinois",63342
17085,"Jo Daviess County, Illinois",65659
17087,"Johnson County, Illinois",52337
17089,"Kane County, Illinois",81718
17091,"Kankakee County, Illinois",63716
17093,"Kendall County, Illinois",91612
17095,"Knox County, Illinois",53229
17097,"Lake County, Illinois",93668
17099,"LaSalle County, Illinois",63812
17101,"Lawrence County, Illinois",52513
17103,"Lee County, Illinois",65213
17105,"Livingston County, Illinois",66464
17107,"Logan County, Illinois",64246
17109,"McDonough County, Illinois",63068
17111,"McHenry County, Illinois",89768
17113,"McLean County, Illinois",83034
17115,"Macon County, Illinois",60745
17117,"Macoupin County, Illinois",61629
17119,"Madison County, Illinois",67860
17121,"Marion County, Illinois",54028
17123,"Marshall County, Illinois",64984
17125,"Mason County, Illinois",56329
17127,"Massac County, Illinois",50965
17129,"Menard County, Illinois",77588
17131,"Mercer County, Illinois",64649
17133,"Monroe County, Illinois",82994
17135,"Montgomery County, Illinois",59167
17137,"Morgan County, Illinois",62023
17139,"Moultrie County, Illinois",58021
17141,"Ogle County, Illinois",68485
17143,"Peoria County, Illinois",65788
17145,"Perry County, Illinois",57788
17147,"Piatt County, Illinois",76509
17149,"Pike County, Illinois",51736
17151,"Pope County, Illinois",56908
17153,"Pulaski County, Illinois",44611
17155,"Putnam County, Illinois",73807
17157,"Randolph County, Illinois",61410
17159,"Richland County, Illinois",55867
17161,"Rock Island County, Illinois",61895
17163,"St. Clair County, Illinois",64168
17165,"Saline County, Illinois",51402
17167,"Sangamon County, Illinois",73074
17169,"Schuyler County, Illinois",57829
17171,"Scott County, Illinois",60905
17173,"Shelby County, Illinois",56199
17175,"Stark County, Illinois",61563
17177,"Stephenson County, Illinois",56065
17179,"Tazewell County, Illinois",72000
17181,"Union County, Illinois",53203
17183,"Vermilion County, Illinois",53880
17185,"Wabash County, Illinois",62257
17187,"Warren County, Illinois",54095
17189,"Washington County, Illinois",66715
17191,"Wayne County, Illinois",55345
17193,"White County, Illinois",58353
17195,"Whiteside County, Illinois",60057
17197,"Will County, Illinois",87950
17199,"Williamson County, Illinois",57470
17201,"Winnebago County, Illinois",58858
17203,"Woodford County, Illinois",77186
